Date,"m=3, W=252","m=3, W=504","m=4, W=252","m=4, W=504"
1954-08-23,0.9922799235773171,0.9888156039754042,0.9787787519760983,0.9765719592009502
1954-08-24,0.9922799235773171,0.9887103560153544,0.9775021484766133,0.9763040546083048
1954-08-25,0.9922799235773171,0.9892021048081219,0.9773202722788643,0.976947121333226
1954-08-26,0.9925665429630404,0.9897925273024994,0.9774357755166896,0.9775451986161038
1954-08-27,0.9922179033081842,0.9895838632238595,0.9765074751720144,0.9776978620289336
1954-08-30,0.9919857391395245,0.9898069663338115,0.976648742485372,0.9778752599070434
1954-08-31,0.9912032774736073,0.9892326570724661,0.9761543368080057,0.9770708726343157
1954-09-01,0.9912032774736071,0.9893393490294186,0.9764733897189447,0.9772552751675728
1954-09-02,0.9912032774736071,0.9893393490294186,0.9764733897189447,0.9772785884978107
1954-09-03,0.9914416450336386,0.9893393490294186,0.9757486390473834,0.9772058853809967
1954-09-07,0.990507625805105,0.9893393490294186,0.9755272812452661,0.9774567793628764
1954-09-08,0.9893546475857224,0.9893393490294186,0.9751002054289171,0.9774567793628764
1954-09-09,0.9903265066346886,0.9898069663338115,0.9748389657303529,0.9774222855044323
1954-09-10,0.9910398469625866,0.9900418961495682,0.9760219694353713,0.9779783772572055
1954-09-13,0.9916627730468851,0.9898069654318717,0.9767847329581276,0.9782284398359249
1954-09-14,0.9927002514832306,0.9901485881065204,0.9765633751560104,0.9782284398359249
1954-09-15,0.9916627730468849,0.9895838632238595,0.9758169510090843,0.9782284398359249
1954-09-16,0.9916627730468849,0.990132705078306,0.9760595447789419,0.9783458828403705
1954-09-17,0.9921957897653465,0.9898069654318717,0.9760595447789419,0.9778980175912804
1954-09-20,0.9929550334779588,0.9896697212105752,0.9770963086280045,0.9779253877818526
1954-09-21,0.9929550334779588,0.9901180864130844,0.9780246089726794,0.9783151280626254
1954-09-22,0.9934594951958426,0.9901341996461169,0.9782459667747969,0.9780305449520696
1954-09-23,0.9924618839231992,0.9895630292536227,0.978245966774797,0.9775806512728124
1954-09-24,0.9933974749267095,0.9895630292536227,0.9782459667747969,0.9773007044618895
1954-09-27,0.99316531075805,0.9893951809177072,0.9787828147380171,0.9774775137585983
1954-09-28,0.9933806632174302,0.9898291070889045,0.9796134199738707,0.9778051347630611
1954-09-29,0.9933806632174303,0.9902249533583944,0.980376183496627,0.9783862014351731
1954-09-30,0.9933806632174303,0.9898007797171517,0.9797546872872284,0.9778978553025671
1954-10-01,0.9933806632174303,0.9899502380771688,0.9792725303855243,0.9774766360998722
1954-10-04,0.9928631504454727,0.9897036042574854,0.9788627729543362,0.9774983409528394
1954-10-05,0.9938839623702612,0.9900893934764557,0.9794906474157166,0.9774983409528394
1954-10-06,0.9931653107580498,0.9895018728746594,0.979712005217834,0.9774721118619563
1954-10-07,0.992621419504818,0.9895018728746594,0.9795236055887633,0.9774900947651012
1954-10-08,0.9923192591922408,0.9895018728746594,0.9786743733252653,0.977351867498155
1954-10-11,0.992968230810028,0.989694037189291,0.9792112212884857,0.9777547433052015
1954-10-12,0.9936310655444779,0.9895382875297374,0.9795115019924405,0.9778369577160562
1954-10-13,0.9931773455250661,0.9897517220145502,0.9796999016215112,0.9779572020798573
1954-10-14,0.9932292674734259,0.9901336707451561,0.9798154048593365,0.9781803470393224
1954-10-15,0.9927511655224728,0.9905480055486265,0.9804028156156653,0.978467357054979
1954-10-18,0.9932131207841737,0.9903158107602552,0.9804028156156653,0.9784673570549791
1954-10-19,0.9942161343051038,0.9907181942394921,0.9811365446413381,0.9784673570549791
1954-10-20,0.9945647739599601,0.9906532535086764,0.9820648449860132,0.9781980913159681
1954-10-21,0.9945647739599601,0.9905828636111693,0.9821803482238385,0.9780115907210645
1954-10-22,0.9940866720090068,0.9906532535086764,0.982528796557988,0.9777076471217154
1954-10-25,0.9944128272827293,0.9904920546824317,0.9827501543601054,0.9781330032792026
1954-10-26,0.9947978700154705,0.9907125463688159,0.9830504350640602,0.9786128163738491
1954-10-27,0.9943441499960587,0.9905480055486265,0.9830504350640602,0.9786541014960005
1954-10-28,0.9942437943801946,0.9908964627990394,0.9830504350640602,0.9788855435457249
1954-10-29,0.9940110292116773,0.9908964627990394,0.9820493075567909,0.9788855435457249
1954-11-01,0.9944128272827293,0.9913961027568143,0.9821763980888228,0.9788855435457248
1954-11-03,0.9944635689812016,0.991058660008393,0.9817302546458517,0.9783142373083296
1954-11-04,0.9945930312772984,0.991058660008393,0.9805375744290511,0.978215305100632
1954-11-05,0.9936329519895952,0.991058660008393,0.9789184545018081,0.9781293410181086
1954-11-08,0.9936329519895953,0.990923275114812,0.9779421317062781,0.9777522581885786
1954-11-09,0.9942161343051038,0.9911494146718725,0.977558270623063,0.9781222209322945
1954-11-10,0.9932787903277245,0.9911494146718725,0.9767365694517115,0.9782863194284904
