src,tgt,n,ete_dir,p_dir,ete_mag,p_mag,sig_dir,sig_mag,diff
XLU,XLP,6796,-0.0001879168707646016,0.9530469530469531,0.0038835150437051646,0.000999000999000999,False,True,0.004071431914469766
XLU,XLRE,2571,-0.00010241123071782641,0.37362637362637363,0.0038402453202290715,0.000999000999000999,False,True,0.003942656550946898
XLU,XLV,6796,-6.604255694237426e-05,0.5354645354645354,0.0027238547631397558,0.000999000999000999,False,True,0.00278989732008213
XLU,XLY,6796,-0.00015998106318590265,0.8461538461538461,0.0019425404819773781,0.000999000999000999,False,True,0.002102521545163281
XLV,XLB,6796,-0.00015215728222045936,0.7942057942057942,0.0019115146990503586,0.000999000999000999,False,True,0.002063671981270818
XLV,XLC,1893,0.0007695490883329857,0.16083916083916083,0.0020108397697729086,0.015984015984015984,False,True,0.0012412906814399229
XLV,XLE,6796,0.0005627027425023406,0.03696303696303696,0.0013683766402857454,0.001998001998001998,False,True,0.0008056738977834047
XLV,XLF,6796,9.143014924554624e-06,0.31868131868131866,0.0018565507764347674,0.000999000999000999,False,True,0.0018474077615102127
XLV,XLI,6796,-6.899202626250178e-05,0.5074925074925075,0.0006177604159175829,0.025974025974025976,False,True,0.0006867524421800846
XLV,XLK,6796,3.679721909690461e-05,0.3146853146853147,0.0033203044942585204,0.000999000999000999,False,True,0.003283507275161616
XLV,XLP,6796,0.00023259344580525498,0.13486513486513488,0.0030019505672636087,0.000999000999000999,False,True,0.002769357121458354
XLV,XLRE,2571,-0.0003600552599509836,0.6393606393606394,0.001731866736671952,0.025974025974025976,False,True,0.0020919219966229357
XLV,XLU,6796,1.6465704874321684e-05,0.37662337662337664,0.0028390815828120025,0.000999000999000999,False,True,0.0028226158779376806
XLV,XLY,6796,-9.27995515291077e-05,0.5784215784215784,0.002464747241045933,0.000999000999000999,False,True,0.0025575467925750407
XLY,XLB,6796,8.606410000246343e-05,0.24375624375624375,0.002726064394026707,0.000999000999000999,False,True,0.0026400002940242433
XLY,XLC,1893,0.000502262687463628,0.17282717282717283,0.001661766143495984,0.05094905094905095,False,False,0.001159503456032356
XLY,XLE,6796,0.00044844367822947657,0.04095904095904096,0.005247679055219551,0.000999000999000999,False,True,0.004799235376990074
XLY,XLF,6796,-0.00012289056415493816,0.7462537462537463,0.0034846426521337646,0.000999000999000999,False,True,0.0036075332162887027
XLY,XLI,6796,-0.00015052412873307698,0.7662337662337663,0.0040283682402374,0.000999000999000999,False,True,0.0041788923689704775
XLY,XLK,6796,-0.0002316946130416185,0.8691308691308691,0.003341465775553269,0.000999000999000999,False,True,0.0035731603885948873
XLY,XLP,6796,0.000290568600019919,0.10989010989010989,0.004783060261477369,0.000999000999000999,False,True,0.00449249166145745
XLY,XLRE,2571,0.0006259056670529525,0.1048951048951049,0.0016654767471944998,0.025974025974025976,False,True,0.0010395710801415472
XLY,XLU,6796,0.00020239452610792827,0.13486513486513488,0.002950238440930542,0.000999000999000999,False,True,0.0027478439148226137
XLY,XLV,6796,0.00013840905674384786,0.21578421578421578,0.0023375688862641206,0.000999000999000999,False,True,0.002199159829520273
