asset,window_size,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
XLF,200,2007-01-04,0.0,0.0,False,199,5
XLF,200,2007-03-07,0.005,-0.00047982657888254393,False,199,2
XLF,200,2007-05-07,0.005,0.0010954702982772927,False,199,3
XLF,200,2007-07-06,0.0,0.0,False,199,1
XLF,200,2007-09-05,0.07,-0.011880845314508646,False,199,3
XLF,200,2007-11-02,0.0,0.0,False,199,4
XLF,200,2008-01-04,0.025,-0.004830366681305203,False,199,3
XLF,200,2008-03-06,0.0,0.0,False,199,5
XLF,200,2008-05-06,0.0,0.0,False,199,5
XLF,200,2008-07-07,0.02,0.0035763499813922235,False,199,3
XLF,200,2008-09-04,0.015,0.002971778774197589,False,199,4
XLF,200,2008-11-03,0.005,0.0006923983105454609,False,199,5
XLF,200,2009-01-05,0.025,0.0016676917677039605,False,199,5
XLF,200,2009-03-06,0.0,0.0,False,199,1
XLF,200,2009-05-06,0.1,-0.019217179564064782,False,199,4
XLF,200,2009-07-07,0.035,-0.007567305693216948,False,199,4
XLF,200,2009-09-03,0.01,-0.0019698727486571234,False,199,1
XLF,200,2009-11-03,0.01,0.0008072813016903225,False,199,5
XLF,200,2010-01-05,0.015,0.0020409476058551802,False,199,1
XLF,200,2010-03-08,0.0,0.0,False,199,1
XLF,200,2010-05-06,0.0,0.0,False,199,4
XLF,200,2010-07-07,0.0,0.0,False,199,1
XLF,200,2010-09-03,0.0,0.0,False,199,4
XLF,200,2010-11-03,0.0,0.0,False,199,3
XLF,200,2011-01-04,0.0,0.0,False,199,4
XLF,200,2011-03-07,0.0,0.0,False,199,4
XLF,200,2011-05-05,0.005,0.0006650273731789101,False,199,3
XLF,200,2011-07-06,0.01,0.0012263469722948476,False,199,4
XLF,200,2011-09-02,0.1,0.02110285197172457,False,199,3
XLF,200,2011-11-02,0.01,0.0017730839493301249,False,199,3
XLF,200,2012-01-04,0.055,0.01178110579120162,False,199,3
XLF,200,2012-03-06,0.115,0.023310135385846698,False,199,3
XLF,200,2012-05-04,0.01,0.0015292908559310172,False,199,3
XLF,200,2012-07-05,0.045,0.007603993029550643,False,199,2
XLF,200,2012-09-04,0.13,0.029058592525804883,False,199,2
XLF,200,2012-11-05,0.08,0.008717115626557762,False,199,4
XLF,200,2013-01-07,0.115,0.022323154274963838,False,199,3
XLF,200,2013-03-08,0.145,-0.019527488858686447,False,199,5
XLF,200,2013-05-08,0.45,-0.0999571101569369,False,199,1
XLF,200,2013-07-09,0.06,-0.010806810892445522,False,199,2
XLF,200,2013-09-06,0.065,-0.011792471513323013,False,199,3
XLF,200,2013-11-05,0.055,-0.009065006954455924,False,199,5
XLF,200,2014-01-07,0.0,0.0,False,199,3
XLF,200,2014-03-10,0.01,-0.001878037604501638,False,199,4
XLF,200,2014-05-08,0.04,-0.00971278863857209,False,199,5
XLF,200,2014-07-09,0.045,-0.00903392473067424,False,199,5
XLF,200,2014-09-08,0.195,-0.03818421008535853,False,199,4
XLF,200,2014-11-05,0.0,0.0,False,199,2
XLF,200,2015-01-07,0.02,0.003549361530563969,False,199,3
XLF,200,2015-03-10,0.01,2.6304325917774903e-05,False,199,4
XLF,200,2015-05-08,0.06,-0.01183581855039373,False,199,2
XLF,200,2015-07-09,0.295,-0.06060515849434304,False,199,4
XLF,200,2015-09-08,0.6,-0.13812332529677857,True,199,2
XLF,200,2015-11-05,0.615,-0.1406237033340979,True,199,4
XLF,200,2016-01-07,0.165,-0.040543427798418206,False,199,5
XLF,200,2016-03-09,0.13,-0.03008372929982558,False,199,2
XLF,200,2016-05-09,0.06,-0.013514631817543848,False,199,4
XLF,200,2016-07-08,0.035,-0.006215385661501997,False,199,2
XLF,200,2016-09-07,0.005,-0.0010340643446116132,False,199,5
XLF,200,2016-11-04,0.01,0.0011404576822838944,False,199,4
XLF,200,2017-01-06,0.0,0.0,False,199,4
XLF,200,2017-03-09,0.065,0.01040260731918987,False,199,1
XLF,200,2017-05-09,0.025,0.003838930468990827,False,199,1
