peak_date,trough_date,drawdown,duration,delta_pe,pe_pre_peak,vol_pre_peak,decade,type
1997-12-05,1998-01-09,-0.05702434141322208,35,0.021249112626448796,0.9940623858027493,0.015411295543036344,1990,pullback
1998-07-17,1998-08-31,-0.19335999216610492,45,0.025254610429826685,0.9831762205123542,0.008770671161320584,1990,crash
1999-07-16,1999-10-15,-0.12078686729338568,91,0.006306230606069718,0.9831550701371464,0.010236411400018262,1990,pullback
1999-12-31,2000-02-25,-0.09248937529245363,56,0.005084305835639125,0.9848443940995046,0.010516834748731933,1990,pullback
2000-03-24,2001-03-22,-0.2683409158766053,363,0.04133205562836795,0.9877206533795678,0.0156654748256565,2000,crash
2001-05-21,2001-09-21,-0.26433733223502315,123,0.023621331579396943,0.9954707348389326,0.01690637244836561,2000,crash
2002-05-28,2002-10-09,-0.27712998513867426,134,0.04718752602562948,0.9758663550231879,0.011485322590901959,2000,crash
2004-02-11,2004-08-12,-0.08164907105058111,183,0.010760613327638335,0.9786456814095622,0.006791043169904928,2000,pullback
2005-03-07,2005-04-20,-0.0716635417932722,44,0.0013877645569804198,0.9787281170797691,0.006000007907454245,2000,pullback
2005-08-03,2005-10-13,-0.05477741365935615,71,0.017843952788436646,0.9876524505910751,0.005561860736103742,2000,pullback
2006-05-05,2006-06-13,-0.07698985307108448,39,0.06106015761027572,0.9785881006559944,0.005321299764104419,2000,pullback
2007-10-09,2008-10-08,-0.37070569141757936,365,0.01555304233452448,0.9672833910401437,0.012399306527248908,2000,crash
2008-11-04,2009-03-09,-0.32733777847688295,125,0.01226131799536856,0.9883073437491954,0.03771569089498803,2000,crash
2010-04-23,2010-07-02,-0.15994677274011784,70,-0.012728554054852625,0.9696742083835831,0.008050113740262762,2010,crash
2011-04-29,2011-10-03,-0.19388242072358447,157,0.03606043540606474,0.9648401409494368,0.007964296822315753,2010,crash
2012-04-02,2012-06-01,-0.09936294686452453,60,0.030539761107955088,0.9809961098270367,0.005890421283099545,2010,pullback
2012-09-14,2012-11-15,-0.07671057667868018,62,0.009842135196760249,0.987182487719549,0.008682860960670705,2010,pullback
2013-05-21,2013-06-24,-0.057555936154791085,34,0.010452828178198259,0.9798824956966571,0.006863176686375169,2010,pullback
2015-05-21,2016-02-11,-0.14160750444640421,266,0.058671999029785815,0.9922569625243524,0.00707924977826033,2010,pullback
2018-09-20,2018-12-24,-0.19778210435681992,95,-0.0019511531958478212,0.9552952645840992,0.00476930592773115,2010,crash
2019-04-30,2019-06-03,-0.06836108044673847,34,0.0013874247641557647,0.9772910798370658,0.005659500290724477,2010,pullback
2020-02-19,2020-03-23,-0.3392496000265327,33,0.007020341224659332,0.9936784005360464,0.006079240991740115,2020,crash
2021-09-02,2021-10-04,-0.05212537590104862,32,-0.005732596880459351,0.982622952147331,0.006046541551147035,2020,pullback
2022-01-03,2022-10-12,-0.254250966192304,282,0.04489007860631988,0.9819391458531549,0.008640149244456783,2020,crash
2023-02-02,2023-03-13,-0.07751635836202832,39,-0.0010255699244955396,0.982122679851748,0.013247374813412134,2020,pullback
2023-07-31,2023-10-27,-0.10276617093291368,88,0.005740073319301708,0.9913840707346625,0.006634188886458021,2020,pullback
2025-02-19,2025-04-08,-0.18902206184284007,48,0.00041352842361375153,0.980094219650668,0.007914673943722333,2020,crash
